target_lower,target_upper,target_midpoint
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
0.0,0.25,0.125
